漢字,羅馬字
份子,hūn-chú
光彩,kong-chhái
全程,choân-têng
共犯,kiōng-hoān
再造,chài-chō
刑期,hêng-kî
危害,gûi-hāi
同樂,tông-lo̍k
名號,miâ-hō
回報,hôe-pò/hê-pò
地名,tē-miâ/tōe-miâ
地雷,tē-lûi/tōe-lûi
好用,hó-ēng
好事,hó-sū
字幕,jī-bō͘/lī-bō͘
存戶,chûn-hō͘
守衛,siú-ōe
有志,iú-chì
次序,chhù-sū
死去,sí--khì
死角,sí-kak
羽毛,ú-mô͘
老兵,lāu-peng
考場,khó-tiûⁿ
考證,khó-chèng
耳機,hīⁿ-ki
血跡,hoeh-jiah/huih-liah
西南,se-lâm
估算,kó͘-sǹg
免疫力,bián-e̍k-le̍k
即刻,chek-khek
否決,hó͘ⁿ-koat
吧台,pa-tâi
壯大,chòng-tāi
妙方,miāu-hng
完備,oân-pī
局限,kio̍k-hān
床頭,chhn̂g-thâu
快感,khoài-kám
戒備,kài-pī
抗藥性,khòng-io̍h-sèng
折磨,chiat-bôa
投案,tâu-àn
更正,keng-chèng
決標,koat-pio
決賽,koat-sài
秀麗,siù-lē
系所,hē-só͘
肝病,koaⁿ-pēⁿ/koaⁿ-pīⁿ
良知,liông-ti
見識,kiàn-sek
見證,kiàn-chèng
身段,sin-tōaⁿ
車行,chhia-hâng
車種,chhia-chióng
巡航,sûn-hâng
邦交,pang-kau
里長,lí-tiúⁿ
防治,hông-tī
防空,hông-khong
防疫,hông-e̍k
防盜,hông-tō
亞軍,a-kun
刻薄,khek-po̍k
制裁,chè-chhâi
協理,hia̍p-lí
卸任,sià-jīm/sià-līm
受難,siū-lān
周刊,chiu-khan
奔走,phun-cháu
定論,tēng-lūn
屈服,khut-ho̍k
岩石,gâm-chio̍h
底薪,té-sin/tóe-sin
怪罪,koài-chōe
承包,sêng-pau
抵制,tí-chè
林務局,Lîm-bū-kio̍k
武術,bú-su̍t
法會,hoat-hōe
油漆,iû-chhat
沿線,iân-sòaⁿ
盲點,bông-tiám
社教,siā-kàu
空位,khang-ūi
芹菜,khîn-chhài/khûn-chhài
花花公子,hoa-hoa-kong-chú
初學者,chho͘-ha̍k-chiá
表明,piáu-bêng
金字塔,kim-jī-thah/kim-lī-thah
長年,tn̂g-nî
長褲,tn̂g-khò͘
阻隔,chó͘-keh
青天,chheng-thian
信義,sìn-gī
侵害,chhim-hāi
保固,pó-kò͘
前任,chêng-jīm/chêng-līm
前言,chiân-giân
前鋒,chiân-hong
厚度,kāu-tō͘
叛亂,poān-loān
哀傷,ai-siong
威權,ui-khoân
室內,sek-lāi
室溫,sek-un
客房,kheh-pâng
客源,kheh-goân
封殺,hong-sat
封鎖,hong-só
建構,kiàn-kò͘
急診,kip-chín
怨言,oàn-giân
政壇,chèng-tôaⁿ
流汗,lâu-kōaⁿ
流動性,liû-tōng-sèng
流轉,liû-choán
洗牌,sé-pâi/sóe-pâi
洗禮,sé-lé/sóe-lé
界定,kài-tēng
界線,kài-sòaⁿ
盆栽,phûn-chai
研讀,gián-tho̍k
紅豆,âng-tāu
美洲,Bí-chiu
美籍,Bí-che̍k
致辭,tì-sû
苦悶,khó͘-būn
訂戶,tēng-hō͘
軍用,kun-iōng
軍備,kun-pī
迫切,pek-chhiat
重現,tiông-hiān
重劃區,tiông-oe̍h-khu
風塵,hong-tîn
首席,siú-se̍k
首都,siú-to͘
冥想,bêng-sióng
原味,goân-bī
原動力,goân-tōng-le̍k
原意,goân-ì
唐詩,Tông-si
家園,ka-hn̂g
座談,chō-tâm
旁觀,pông-koan
校慶,hāu-khèng
核定,he̍k-tēng
氣流,khì-liû
消防,siau-hông
涉案,sia̍p-àn
特約,te̍k-iok
病毒,pēⁿ-to̍k/pīⁿ-to̍k
病理,pēⁿ-lí/pīⁿ-lí
病態,pēⁿ-thài/pīⁿ-thài
病歷,pēⁿ-le̍k/pīⁿ-le̍k
真空,chin-khong
破滅,phò-bia̍t
破解,phò-kái
神話,sîn-ōe
租金,cho͘-kim
索引,sek-ín
純潔,sûn-kiat
紙盒,chóa-a̍p
缺席,khoat-se̍k
航站,hâng-chām
茶包,tê-pau
衰弱,soe-jio̍k/soe-lio̍k
起先,khí-seng
起步,khí-pō͘
送交,sàng-kau
退票,thè-phiò
退場,thè-tiûⁿ
追捕,tui-pó͘
追殺,tui-sat
追趕,tui-kóaⁿ
酒家,chiú-ka
配發,phòe-hoat/phè-hoat
配對,phòe-tùi/phè-tùi
馬桶,bé-tháng
高壓,ko-ap
假釋,ká-sek
健保,kiān-pó
偵查,cheng-cha
副總,hù-chóng
區長,khu-tiúⁿ
區間,khu-kan
參數,chham-sò͘
問答,būn-tap
國度,kok-tō͘
國營,kok-êng
基準,ki-chún
執業,chip-gia̍p
專才,choan-châi
崩盤,pang-pôaⁿ
強求,kiông-kiû
強弱,kiông-jio̍k/kiông-lio̍k
情緣,chêng-iân
排放,pâi-hòng
排班,pâi-pan
排演,pâi-ián
救贖,kiù-sio̍k
教養,kàu-ióng
教職員,kàu-chit-oân
梵文,Hoān-bûn
毫米,hô-bí
毫克,hô-khek
液體,e̍k-thé
清洗,chheng-sé/chheng-sóe
清掃,chheng-sàu
淵源,ian-goân
深沉,chhim-tîm
球友,kiû-iú
球技,kiû-ki
球類,kiû-lūi
產物,sán-bu̍t
眾生,chiòng-seng
被動,pī-tōng
規費,kui-hùi
貫穿,koàn-chhoan
通勤,thong-khîn/thong-khûn
通盤,thong-pôaⁿ
連日,liân-ji̍t/liân-li̍t
連連,liân-liân
造船,chō-chûn
野餐,iá-chhan
鳥類,chiáu-lūi
創刊,chhòng-khan
勝地,sèng-tē/sèng-tōe
勝算,sèng-soàn
喜宴,hí-iàn
喪生,sòng-seng
單字,tan-jī/tan-lī
報社,pò-siā
報業,pò-gia̍p
寒冷,hân-léng
寒假,hân-ká
復工,ho̍k-kang
惡魔,ok-mô͘
掌管,chióng-koán
掌聲,chióng-siaⁿ
提煉,thê-liān
智商,tì-siong
殖民,si̍t-bîn
港區,káng-khu
減產,kiám-sán
滋潤,chu-jūn/chu-lūn
無非,bû-hui
無常,bû-siông
無邊,bû-pian
畫筆,ōe-pit
發財,hoat-châi
發送,hoat-sàng
發源地,hoat-goân-tē/hoat-goân-tōe
稅源,sòe-goân/sè-goân
童軍,tông-kun
筆法,pit-hoat
結石,kiat-chio̍h
華府,Hôa-hú
虛構,hi-kò͘
越戰,Oa̍t-chiàn
超人,chhiau-jîn/chhiau-lîn
超速,chhiau-sok
跑道,pháu-tō
鄉民,hiong-bîn
開庭,khui-têng
開票,khui-phiò
開標,khui-pio
開課,khui-khò
陽春,iông-chhun
雅房,ngá-pâng
雄心,hiông-sim
亂七八糟,loān-chhi-pa-chau
傳神,thoân-sîn
傷勢,siong-sè
募款,bō͘-khoán
奧妙,ò-miāu
意念,ì-liām
意涵,ì-hâm
意圖,ì-tô͘
意境,ì-kéng
感官,kám-koan
感傷,kám-siong
感觸,kám-chhiok
新型,sin-hêng
新舊,sin-kū
會商,hōe-siong
業主,gia̍p-chú
溪水,khe-chúi/khoe-chúi
溪流,khe-lâu/khoe-lâu
煙霧,ian-bū
照樣,chiàu-iūⁿ
當紅,tng-âng
禁用,kìm-iōng
聖戰,sèng-chiàn
落幕,lo̍h-bō͘
補強,pó͘-kiông
裝甲,chong-kah
解嚴,kái-giâm
解讀,kái-tho̍k
試用,chhì-iōng
詩意,si-ì
資歷,chu-le̍k
遊民,iû-bîn
遊覽,iû-lám
違憲,ûi-hiàn
雷達,lûi-ta̍t
電聯車,tiān-liân-chhia
預約,ī-iok/ū-iok
預訂,ī-tēng/ū-tēng
預留,ī-liû/ū-liû
預產期,ī-sán-kî/ū-sán-kî
預設,ī-siat/ū-siat
預警,ī-kéng/ū-kéng
團長,thoân-tiúⁿ
境地,kéng-tē/kéng-tōe
壽險,siū-hiám
實例,si̍t-lē
對談,tùi-tâm
弊端,pè-toan
截止,chia̍t-chí
撤銷,thiat-siau
榮譽,êng-ū
漁會,hî-hōe/hû-hōe
滷味,ló͘-bī
監聽,kàm-thiaⁿ
管線,kóng-sòaⁿ
精裝,cheng-chong
舞步,bú-pō͘
舞團,bú-thoân
趕往,kóaⁿ-óng
輕柔,khin-jiû/khin-liû
輕傷,khin-siong
遙控,iâu-khòng
銀器,gîn-khì/gûn-khì
銅管,tâng-kóng
增資,cheng-chu
審定,sím-tēng
審議,sím-gī
廢棄,hùi-khì
廢標,hùi-pio
影集,iáⁿ-chi̍p
徵文,teng-bûn
慶典,khèng-tián
撥付,poah-hù
敵意,te̍k-ì
暴亂,pō-loān
標點,piau-tiám
歐式,Au-sek
歐盟,Au-bêng
熱誠,jia̍t-sêng/lia̍t-sêng
編舞,pian-bú
編劇,pian-kio̍k
線材,sòaⁿ-châi
罷免,pā-bián
請願,chhéng-goān
課堂,khò-tn̂g
課業,khò-gia̍p
論點,lūn-tiám
踏入,ta̍p-ji̍p/ta̍h-li̍p
輪椅,lûn-í
養成,ióng-sêng
奮戰,hùn-chiàn
學長,ha̍k-tiúⁿ
學說,ha̍k-soat
戰況,chiàn-hóng
戰區,chiàn-khu
操盤,chhau-pôaⁿ
整數,chéng-sò͘
樹葉,chhiū-hio̍h
機電,ki-tiān
歷來,le̍k-lâi
歷練,le̍k-liān
燈罩,teng-tà
積分,chek-hun
積水,chek-chúi
辨別,piān-pia̍t
辦事,pān-sū
選定,soán-tēng
錯失,chhò-sit
錯覺,chhò-kak
館長,koán-tiúⁿ
壓制,ap-chè
溼度,sip-tō͘
療法,liâu-hoat
縮影,sok-iáⁿ
總督,chóng-tok
總價,chóng-kè
總體,chóng-thé
聲浪,siaⁿ-lōng
聯邦,liân-pang
聯招會,Liân-chiau-hōe
聯席會,liân-se̍k-hōe
講解,káng-kái
避難,pī-lān
鮮花,chhiⁿ-hoe
殯儀館,pin-gî-koán
禮盒,lé-a̍p
簡便,kán-piān
簡章,kán-chiong
豐年祭,hong-nî-chè
轉送,choán-sàng
轉運站,choán-ūn-chām
雙打,siang-táⁿ
雙向,siang-hiòng
雙門,siang-mn̂g
證交所,Chèng-kau-só͘
關愛,koan-ài
難題,lân-tê/lân-tôe
警力,kéng-le̍k
警官,kéng-koaⁿ
警長,kéng-tiúⁿ
警衛,kéng-ōe
黨職,tóng-chit
轟炸,hong-chà
霹靂,phek-le̍k
顧慮,kò͘-lī/kò͘-lū
權勢,khoân-sè
聽友,thiaⁿ-iú
聽見,thiaⁿ--kìⁿ
聽話,thiaⁿ-ōe
戀情,loân-chêng
罐裝,koàn-chng
靈骨塔,lêng-kut-thah
靈敏,lêng-bín
鷹架,eng-kè
一大堆,chi̍t-tōa-tui
一心一意,it-sim-it-ì
一夜情,chi̍t-iā-chêng
一體,it-thé
了結,liáu-kiat
二手貨,jī-chhiú-hòe/lī-chhiú-hè
二氧化碳,jī-ióng-hòa-thòaⁿ
人事局,Jîn-sū-kio̍k/Lîn-sū-kio̍k
人和,jîn-hô/lîn-hô
人道,jîn-tō/lîn-tō
入會,ji̍p-hōe/li̍p-hōe
入境,ji̍p-kéng/li̍p-kéng
三國,Sam-kok
三溫暖,sam-un-loán
下垂,hā-sûi
千古,chhian-kó͘
口才,kháu-châi
士官,sū-koaⁿ
大戶,tōa-hō͘
大略,tāi-lio̍k
大寫,tōa-siá
大賣場,tōa-bē-tiûⁿ/tōa-bōe-tiûⁿ
女王,lú-ông
小便,siáu-piān
小島,sió-tó
山坡,soaⁿ-pho
山脈,soaⁿ-me̍h
工研院,Kang-gián-īⁿ
工商界,kang-siong-kài
工期,kang-kî
才藝,châi-gē
中西,tiong-se
中南美,Tiong-lâm-bí
中南海,Tiong-lâm-hái
中美,Tiong-bí
中原,tiong-goân
互信,hō͘-sìn
互補,hō͘-pó͘
五官,ngó͘-koan
元老,goân-ló
內分泌,lāi-hun-pì
內勤,lāi-khîn/lāi-khûn
內褲,lāi-khò͘
六輕,La̍k-khin
公子,kong-chú
公立,kong-li̍p
公有,kong-iú
公私,kong-su
公約,kong-iok
公厘,kong-lî
公然,kong-jiân/kong-liân
公轉,kong-choán
分歧,hun-kî
分校,hun-hāu
分組,hun-cho͘
化工,hòa-kang
反攻,hoán-kong
反問,hoán-mn̄g
天王,thian-ông
天涯,thian-gâi
天賦,thian-hù
引入,ín-ji̍p/ín-li̍p
心目中,sim-bo̍k-tiong
心胸,sim-heng
手心,chhiú-sim
手套,chhiú-thò
手錶,chhiú-pió
文法,bûn-hoat
文壇,bûn-tôaⁿ
日商,Ji̍t-siong/Li̍t-siong
比數,pí-sò͘
毛筆,mô͘-pit
水床,chúi-chhn̂g
水鳥,chúi-chiáu
水量,chúi-liōng
水溫,chúi-un
水壓,chúi-ap
火光,hóe-kng/hé-kng
火警,hóe-kéng/hé-kéng
片廠,phìⁿ-chhiúⁿ
牛油,gû-iû
世上,sè-siōng
世家,sè-ka
主食,chú-si̍t
主播,chú-pò͘
充電,chhiong-tiān
出庭,chhut-têng
出境,chhut-kéng
刊載,khan-chài
加分,ka-hun
功率,kong-lu̍t
北半球,Pak-pòaⁿ-kiû
北歐,Pak-au
占有率,chiàm-iú-lu̍t
占領,chiàm-niá
可貴,khó-kùi
古今,kó͘-kim
古物,kó͘-bu̍t
史料,sú-liāu
臺胞,Tâi-pau
臺鐵,Tâi-thih
句點,kù-tiám
四輪,sì-lián
囚犯,siû-hoān
外包,gōa-pau
外海,gōa-hái
外野,gōa-iá
外傷,gōa-siong
外籍,gōa-che̍k
失真,sit-chin
失落,sit-lo̍h
奴隸,lô͘-lē
孕育,īn-io̍k
平反,pêng-hoán
本文,pún-bûn
本金,pún-kim
本票,pún-phiò
本壘,pún-lúi
民怨,bîn-oàn
犯案,hoān-àn
玉山,Gio̍k-san
生化,seng-hòa
用法,iōng-hoat
交貨,kau-hòe/kau-hè
交戰,kau-chiàn
任內,jīm-lāi/līm-lāi
光臨,kong-lîm
兇惡,hiong-ok
全文,choân-bûn
全能,choân-lêng
共和,kiōng-hô
冰涼,peng-liâng
列席,lia̍t-se̍k
同性,tông-sèng
各國,kok-kok
名次,miâ-chhù
名條,miâ-tiâu
名譽,bêng-ū
合資,ha̍p-chu
因緣,in-iân
回教,Hôe-kàu/Hê-kàu
地層,tē-chân/tōe-chân
地標,tē-piau/tōe-piau
好感,hó-kám
如來,Jû-lâi/Lû-lâi
字型,jī-hêng/lī-hêng
尖刀,chiam-to
年金,nî-kim
年費,nî-hùi
年鑑,nî-kàm
成因,sêng-in
收件,siu-kiāⁿ
收押,siu-ah
死傷,sí-siong
汗水,kōaⁿ-chúi
百年,pah-nî
肉類,bah-lūi
自用,chū-iōng
自助,chū-chō͘
自衛,chū-ōe
血癌,hoeh-gâm/huih-gâm
行文,hêng-bûn
行事曆,hêng-sū-le̍k
行員,hâng-oân
西區,se-khu
串聯,chhoàn-liân
佛學,Hu̍t-ha̍k
伸長,chhun-tn̂g
免不了,bián-put-liáu
免除,bián-tû
判刑,phòaⁿ-hêng
利害,lī-hāi
劫機,kiap-ki
吳郭魚,ngô͘-koeh-hî/ngô͘-koeh-hû
告辭,kò-sî
含意,hâm-ì
壯麗,chòng-lē
宏觀,hông-koan
序幕,sū-bō͘
床鋪,chhn̂g-pho͘
忍者,jím-chiá/lím-chiá
戒心,kài-sim
抗衡,khòng-hêng
投球,tâu-kiû
改寫,kái-siá
攻讀,kong-tho̍k
村長,chhun-tiúⁿ
求職,kiû-chit
決戰,koat-chiàn
私底下,su-té-hā/su-tóe-hā
走漏,cháu-lāu
車展,chhia-tián
防火,hông-hóe/hông-hé
防毒,hông-to̍k
防護,hông-hō͘
兩難,lióng-lân
受益,siū-ek
受騙,siū-phiàn
味覺,bī-kak
周詳,chiu-siông
夜間,iā-kan
奉獻,hōng-hiàn
奈何,nāi-hô
委屈,úi-khut
季刊,kùi-khan
定點,tēng-tiám
岸邊,hōaⁿ-piⁿ
底線,té-sòaⁿ/tóe-sòaⁿ
延燒,iân-sio
怪怪,koài-koài
所致,só͘-tì
抽換,thiu-ōaⁿ
抽驗,thiu-giām
拖吊車,thoa-tiàu-chhia
放任,hòng-jīm/hòng-līm
放空,pàng-khang
放射,hòng-siā
明朗,bêng-lóng
明智,bêng-tì
東岸,tang-hōaⁿ
武功,bú-kong
武將,bú-chiòng
法定,hoat-tēng
法網,hoat-bāng
法寶,hoat-pó
油性,iû-sèng
油門,iû-mn̂g
油價,iû-kè
油罐車,iû-koàn-chhia
直系,ti̍t-hē
直播,ti̍t-pò͘
知音,ti-im
社教館,Siā-kàu-koán
空前,khong-chiân
空隙,khang-khiah
花店,hoe-tiàm
花茶,hoe-tê
花園,hoe-hn̂g
表白,piáu-pe̍k
表態,piáu-thài
迎戰,gêng-chiàn
金黃,kim-n̂g
長桌,tn̂g-toh
長裙,tn̂g-kûn
長線,tn̂g-sòaⁿ
附錄,hù-lo̍k
青草,chheⁿ-chháu/chhiⁿ-chháu
信物,sìn-bu̍t
保戶,pó-hō͘
保送,pó-sàng
保單,pó-toaⁿ
保額,pó-gia̍h
俗諺,sio̍k-gān
前程,chiân-têng
前線,chiân-sòaⁿ
南亞,Lâm-a
南海,Lâm-hái
品管,phín-koán
宣誓,soan-sè
宣讀,soan-tho̍k
室外,sek-gōa
客串,kheh-chhoàn
帝王,tè-ông
建照,kiàn-chiàu
後台,āu-tâi
後勤,āu-khîn/āu-khûn
按下,àn-hā
指認,chí-jīn/chí-līn
政界,chèng-kài
政務,chèng-bū
故宮,Kò͘-kiong
柔情,jiû-chêng/liû-chêng
架勢,kè-sè
查明,chhâ-bêng
查證,chhâ-chèng
毒害,to̍k-hāi
毒素,to̍k-sò͘
流動率,liû-tōng-lu̍t
流域,liû-he̍k
流速,liû-sok
流量,liû-liōng
流標,liû-pio
活性,oa̍h-sèng
為止,ûi-chí
皇室,hông-sek
相配,siong-phòe/siong-phè
相通,siong-thong
相連,sio-liân
相傳,siong-thoân
相隔,siong-keh
相貌,siòng-māu
相識,siong-sek
突發,tu̍t-hoat
突變,tu̍t-piàn
紅十字會,Âng-si̍p-jī-hōe/Âng-si̍p-lī-hōe
紅外線,âng-gōa-sòaⁿ
紅牌,âng-pâi
紅塵,hông-tîn
紀律,kì-lu̍t
約定,iok-tēng
美工,bí-kang
美色,bí-sek
美夢,bí-bāng
美滿,bí-boán
耶誕,Iâ-tàn
胃藥,ūi-io̍h
致謝,tì-siā
苦難,khó͘-lān
英尺,eng-chhioh
訂製,tēng-chè
軍階,kun-kai
重生,tiông-seng
重來,têng-lâi
重型,tāng-hêng
限定,hān-tiāⁿ
限期,hān-kî
面目,bīn-bo̍k
風力,hong-le̍k
風風雨雨,hong-hong-ú-ú
風華,hong-hôa
風雲,hong-hûn
風範,hong-hoān
倍數,pōe-sò͘
倚重,í-tiōng
倒會,tó-hōe
個展,kò-tián
修法,siu-hoat
修剪,siu-chián
修習,siu-si̍p
修練,siu-liān
修辭,siu-sû
剝削,pak-siah
原木,goân-bo̍k
原狀,goân-chōng
原型,goân-hêng
原訂,goân-tēng
原創,goân-chhòng
原裝,goân-chong
埋伏,bâi-ho̍k
埋怨,bâi-oàn
家務,ka-bū
家禽,ka-khîm
宴請,iàn-chhiáⁿ
宵禁,siau-kìm
射門,siā-mn̂g
射程,siā-têng
島嶼,tó-sū/tó͘-sū
恐龍,khióng-liông
恩怨,un-oàn
捐助,koan-chō͘
效法,hāu-hoat
旁觀者,pông-koan-chiá
時日,sî-ji̍t/sî-li̍t
書刊,su-khan
書展,su-tián
校正,kàu-chèng
根基,kin-ki/kun-ki
根源,kin-goân/kun-goân
桌面,toh-bīn
氣功,khì-kong
氣色,khì-sek
氣派,khì-phài
氣體,khì-thé
氧化,ióng-hòa
海水,hái-chúi
海馬,hái-bé
海運,hái-ūn
海灣,hái-oan
浮雕,phû-tiau
特使,te̍k-sài
特例,te̍k-lē
特首,te̍k-siú
病史,pēⁿ-sú/pīⁿ-sú
破除,phò-tû
祖產,chó͘-sán
神態,sîn-thài
租約,cho͘-iok
祕笈,pì-ki̍p
笑聲,chhiò-siaⁿ
紋理,bûn-lí
紋路,bûn-lō͘
素養,sò͘-ióng
紛亂,hun-loān
紛雜,hun-cha̍p
缺憾,khoat-hām
能耐,lêng-nāi
航程,hâng-têng
航權,hâng-khoân
茶藝館,tê-gē-koán
託付,thok-hù
起草,khí-chhó
起駕,khí-kà
迷失,bê-sit
迷思,bê-su
退還,thè-hêng
迴避,hôe-pī
追擊,tui-kek
酒店,chiú-tiàm
配色,phòe-sek/phè-sek
閃光,siám-kng
院區,īⁿ-khu
骨架,kut-kè
高地,ko-tē/ko-tōe
高架,ko-kè
停工,thêng-kang
停刊,thêng-khan
停靠,thêng-khò
做為,chò-ûi/chòe-ûi
偵察,cheng-chhat
偏重,phian-tiōng
副刊,hù-khan
動亂,tōng-loān
商務,siong-bū
商隊,siong-tūi
唱法,chhiùⁿ-hoat
唱盤,chhiùⁿ-pôaⁿ
問話,mn̄g-ōe
國手,kok-chhiú
國文,kok-bûn
國父,Kok-hū
國片,kok-phìⁿ
國安會,Kok-an-hōe
國情,kok-chêng
國道,kok-tō
堅信,kian-sìn
執筆,chip-pit
執勤,chip-khîn/chip-khûn
宿命,siok-bēng
專任,choan-jīm/choan-līm
專政,choan-chèng
專員,choan-oân
專書,choan-su
專精,choan-cheng
專職,choan-chit
將士,chiòng-sū
常務,siông-bū
帶狀,tài-chōng
強姦,kiông-kan
強度,kiông-tō͘
彩繪,chhái-hōe
得票,tek-phiò
探究,thàm-kiù
接班,chiap-pan
接單,chiap-toaⁿ
掩護,iám-hō͘
掃黃,sàu-n̂g
推案,thui-àn
推翻,thui-hoan
授課,siū-khò
採納,chhái-la̍p
救濟,kiù-chè
教廷,Kàu-têng
教宗,Kàu-chong
敗壞,pāi-hoāi
敘事,sū-sū
晚安,boán-an
梯次,the-chhù
條文,tiâu-bûn
淡薄,tām-po̍h
淒涼,chhe-liâng
深情,chhim-chêng
深層,chhim-chân
牽引,khan-ín
理監事,lí-kàm-sū
異國,ī-kok
疏散,so͘-sàn
眾神,chiòng-sîn
票據,phiò-kì/phiò-kù
票選,phiò-soán
祭品,chè-phín
移居,î-ku
移師,î-su
第二春,tē-jī-chhun/tē-lī-chhun
第四台,tē-sì-tâi
符碼,hû-má
粗淺,chho͘-chhián
組件,cho͘-kiāⁿ
組別,cho͘-pia̍t
終年,chiong-nî
終點,chiong-tiám
脫水,thoat-chúi
貨款,hòe-khoán/hè-khoán
通信,thong-sìn
通俗,thong-sio̍k
通航,thong-hâng
通關,thong-koan
連貫,liân-koàn
透天,thàu-thiⁿ
透視,thàu-sī
野台戲,iá-tâi-hì
野花,iá-hoe
陳設,tîn-siat
陰暗,im-àm
章節,chiong-chiat
魚群,hî-kûn/hû-kûn
魚類,hî-lūi/hû-lūi
創始,chhòng-sí
勞委會,Lô-úi-hōe
勞苦,lô-khó͘
勞資,lô-chu
勝訴,sèng-sò͘
喜氣,hí-khì
圍捕,ûi-pó͘
圍堵,ûi-tó͘
復古,ho̍k-kó͘
復發,ho̍k-hoat
提報,thê-pò
景況,kéng-hóng
景致,kéng-tì
暑期,sú-kî
智能,tì-lêng
港灣,káng-oan
渡海,tō͘-hái
湖面,ô͘-bīn
無妨,bû-hông
無知,bû-ti
無緣,bô-iân
猩猩,seng-seng
畫法,ōe-hoat
畫展,ōe-tián
畫像,ōe-siōng
畫圖,ōe-tô͘
畫質,ōe-chit
發函,hoat-hâm
發病,hoat-pēⁿ/hoat-pīⁿ
發聲,hoat-siaⁿ
盜版,tō-pán
硬化,ngē-hòa/ngī-hòa
窗外,thang-gōa
等到,tán-kàu
筆試,pit-chhì
結交,kiat-kau
結業,kiat-gia̍p
結緣,kiat-iân
紫色,chí-sek
裁示,chhâi-sī
裁定,chhâi-tēng
裁員,chhâi-oân
評定,phêng-tēng
詐領,chà-niá
超凡,chhiau-hoân
超收,chhiau-siu
超然,chhiau-jiân/chhiau-liân
進用,chìn-iōng
進貨,chìn-hòe/chìn-hè
進階,chìn-kai
鄉愁,hiong-chhiû
開門,khui-mn̂g
開端,khai-toan
雅緻,ngá-tì
雄偉,hiông-úi
集會,chi̍p-hōe
集權,chi̍p-khoân
飲用水,ím-iōng-chúi
飲品,ím-phín
黃絲帶,n̂g-si-tòa
亂源,loān-goân
亂碼,loān-bé
傳回,thoân-hôe/thoân-hê
傳單,thoân-toaⁿ
傳媒,thoân-mûi
傳話,thoân-ōe
催眠,chhui-bîn
傷寒,siong-hân
匯集,hōe-chi̍p
園遊會,oân-iû-hōe
園藝,oân-gē
塑身,sok-sin
微弱,bî-jio̍k/bî-lio̍k
意象,ì-siōng
搜救,so͘-kiù
搶救,chhiúⁿ-kiù
新任,sin-jīm/sin-līm
新式,sin-sek
新增,sin-cheng
會報,hōe-pò
溪頭,Khe-thâu/Khoe-thâu
煎餅,chian-piáⁿ
煩心,hoân-sim
當日,tong-ji̍t/tong-li̍t
盟友,bêng-iú
節稅,chiat-sòe/chiat-sè
義工,gī-kang
聖嬰,Sèng-eng
落入,lo̍h-ji̍p/lo̍h-li̍p
落下,lo̍h-hā
號外,hō-gōa
補校,pó͘-hāu
補給,pó͘-kip
補選,pó͘-soán
補繳,pó͘-kiáu
解析,kái-sek
解套,kái-thò
解救,kái-kiù
解碼,kái-má
詳盡,siông-chīn
詩句,si-kù
詩作,si-chok
話劇,ōe-kio̍k
路上,lō͘-siōng
路徑,lō͘-kèng
跳動,thiàu-tōng
跳棋,thiàu-kî
跳樓,thiàu-lâu
載入,chài-ji̍p/chài-li̍p
載客,chài-kheh
運量,ūn-liōng
遊樂,iû-lo̍k
過剩,kòe-sēng
遍佈,piàn-pò͘
鉛球,iân-kiû
電阻,tiān-chó͘
電流,tiān-liû
電路,tiān-lō͘
電磁,tiān-chû
預知,ī-ti/ū-ti
頒佈,pan-pò͘
飽滿,pá-móa
嘉賓,ka-pin
團費,thoân-hùi
圖騰,tô͘-thêng
夢見,bāng-kìⁿ
實況,si̍t-hóng
實戰,si̍t-chiàn
對焦,tùi-chiau
對準,tùi-chún
彰顯,chiong-hián
慘烈,chhám-lia̍t
截稿,chia̍t-kó
榮民,êng-bîn
演進,ián-chìn
演藝,ián-gē
漢人,Hàn-jîn/Hàn-lîn
漫談,bān-tâm
漁業,hî-gia̍p/hû-gia̍p
疑點,gî-tiám
疑難,gî-lân
盡頭,chīn-thâu
監理,kàm-lí
精子,cheng-chú
精巧,cheng-khá
綠卡,le̍k-khah
罰球,hoa̍t-kiû
腐敗,hú-pāi
腐爛,hú-nōa
臺電,Tâi-tiān
舞曲,bú-khek
舞動,bú-tōng
舞會,bú-hōe
製法,chè-hoat
製播,chè-pò͘
認領,jīn-niá/līn-niá
說唱,soat-chhiùⁿ
遠見,oán-kiàn
酵素,kàⁿ-sò͘
銀樓,gîn-lâu/gûn-lâu
銅環,tâng-khoân
閣樓,koh-lâu
領軍,niá-kun
劇院,kio̍k-īⁿ
噴射,phùn-siā
噴墨,phùn-ba̍k
增生,cheng-seng
寬容,khoan-iông
審視,sím-sī
寫生,siá-seng
廢氣,hùi-khì
廣義,kóng-gī
廠長,chhiúⁿ-tiúⁿ
彈奏,tôaⁿ-chàu
徵求,teng-kiû
慧眼,hūi-gán
摩西,Mô͘-se
撥款,poah-khoán
撫慰,hú-ùi
敵對,te̍k-tùi
樣式,iūⁿ-sek
標明,piau-bêng
樓層,lâu-chàn
樂界,ga̍k-kài
樂音,ga̍k-im
潰瘍,khùi-iông
熟練,se̍k-liān
熱火,jia̍t-hóe/lia̍t-hóe
熱度,jia̍t-tō͘/lia̍t-tō͘
熱舞,jia̍t-bú/lia̍t-bú
獎牌,chióng-pâi
稿費,kó-hùi
緣份,iân-hūn
衛兵,ōe-peng
調和,tiâu-hô
調配,tiâu-phòe/tiâu-phè
